Age,Gender,Max_BPM,Avg_BPM,Resting_BPM,Calories_Burned,Exercise_Type,Fat_Percentage,Water_Intake (liters),BMI,Exercise_Duration_Seconds,Height_cm,Weight_kg,VO2Max,Distance_m,Temperature_C,Water_Intake_Liters
56.0,MALE,180.0,157.0,60.0,1313.0,YOGA,12.6,3.5,30.2,6083.999999999999,171.0,88.3,,0.0,22,3.79
46.0,FEMALE,179.0,151.0,66.0,883.0,HIIT,33.9,2.1,32.0,4680.0,153.0,74.9,,0.0,0,2.15
32.0,FEMALE,167.0,122.0,54.0,677.0,CARDIO,33.4,2.3,24.71,3996.000000000001,166.0,68.1,,0.0,35,1.85
25.0,MALE,190.0,164.0,56.0,532.0,STRENGTH_TRAINING,28.8,2.1,18.41,2124.0,170.0,53.2,,0.0,20,1.56
38.0,MALE,188.0,158.0,68.0,556.0,STRENGTH_TRAINING,29.2,2.8,14.39,2304.0,179.0,46.1,,0.0,21,1.63
56.0,FEMALE,168.0,156.0,74.0,1116.0,HIIT,15.5,2.7,20.55,5724.0,168.0,58.0,,0.0,2,2.67
36.0,MALE,174.0,169.0,73.0,1385.0,CARDIO,21.3,2.3,23.76,5364.0,172.0,70.3,,0.0,25,4.03
40.0,FEMALE,189.0,141.0,64.0,895.0,CARDIO,30.6,1.9,30.57,4572.0,151.0,69.7,,0.0,20,1.91
28.0,MALE,185.0,127.0,52.0,719.0,STRENGTH_TRAINING,28.9,2.6,32.34,3708.000000000001,194.0,121.7,,0.0,19,1.69
28.0,MALE,169.0,136.0,64.0,808.0,CARDIO,29.7,2.7,30.07,3888.000000000001,184.0,101.8,,0.0,20,1.9
41.0,MALE,188.0,146.0,54.0,593.0,HIIT,20.5,3.0,43.31,2951.9999999999995,167.0,120.8,,0.0,30,1.57
53.0,MALE,175.0,152.0,72.0,865.0,HIIT,23.6,3.5,17.89,4140.0,170.0,51.7,,0.0,25,2.53
57.0,MALE,195.0,165.0,61.0,1013.0,CARDIO,22.1,2.7,43.4,4464.0,161.0,112.5,,0.0,10,2.68
41.0,MALE,179.0,136.0,69.0,794.0,HIIT,27.6,3.7,23.62,4248.0,200.0,94.5,,0.0,28,2.12
20.0,MALE,196.0,161.0,54.0,1195.0,YOGA,26.4,3.3,35.93,4860.0,181.0,117.7,,0.0,24,3.5
39.0,FEMALE,181.0,131.0,52.0,740.0,STRENGTH_TRAINING,26.2,2.1,13.88,4068.0,175.0,42.5,,0.0,30,1.79
19.0,FEMALE,166.0,167.0,58.0,1111.0,HIIT,29.8,2.3,27.34,4788.000000000001,153.0,64.0,,0.0,4,2.7
41.0,FEMALE,182.0,165.0,58.0,884.0,CARDIO,31.9,1.6,13.98,4283.999999999999,177.0,43.8,,0.0,21,2.37
47.0,FEMALE,199.0,146.0,56.0,742.0,STRENGTH_TRAINING,32.8,2.5,21.81,4068.0,175.0,66.8,,0.0,29,1.81
55.0,FEMALE,188.0,167.0,51.0,1030.0,HIIT,25.2,2.2,26.96,4932.0,167.0,75.2,,0.0,23,2.74
19.0,MALE,175.0,127.0,72.0,1048.0,STRENGTH_TRAINING,28.9,3.7,28.41,5400.0,177.0,89.0,,0.0,33,3.13
38.0,MALE,197.0,142.0,72.0,875.0,CARDIO,25.7,3.1,22.95,4032.0,177.0,71.9,,0.0,18,2.05
50.0,FEMALE,187.0,161.0,70.0,848.0,YOGA,33.1,2.5,25.16,4211.999999999999,168.0,71.0,,0.0,26,2.58
29.0,MALE,197.0,168.0,65.0,721.0,YOGA,28.1,3.4,38.16,2808.0000000000005,178.0,120.9,,0.0,19,2.11
